StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_4_TEXT,Q3,Q3_6_TEXT,Q4,Q14,Q5,Q15,Q7,Q16,Q16_3_TEXT,Q17,Q53,Q9,Q11,Q12,Q20,Q18,Q13,Q13_6_TEXT,Q19,Q22,Q23,Q23_2_TEXT,Q24,Q48,Q29,Q30,Q31,Q27,Q27_2_TEXT,Q54,Q55,Q32,Q34,Q36,Q33,Q35,Q37,Q39,Q40,Q41,Q41_7_TEXT,Q44,Q42,Q45,Q46,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6,Q50_7,Q50_8,Q50_8_TEXT,Q51,Q51_5_TEXT,Q52
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your age range?,What gender do you identify with? - Selected Choice,What gender do you identify with? - Other (Please Specify): - Text,What is your race? Please select all that apply. - Selected Choice,What is your race? Please select all that apply. - Other (Please Specify): - Text,What is your ethnicity? Please select all that apply.,Are you currently enrolled in a graduate program to obtain your Master's Degree in Speech-Language Pathology?,What university did you obtain your Master's Degree in Speech-Language Pathology?,Are you currently in your Clinical Fellowship year?,What year did you complete your Clinical Fellowship year?,Which county do you currently work for? - Selected Choice,Which county do you currently work for? - Other: - Text,"If Nassau or Suffolk County, what school district are you employed by?",Do you currently work at an elementary school?,What is the name of the elementary school you currently work at?,"Since graduating with your master's degree, how many years of experience do you have in the field of speech-language pathology?",How many years of experience do you have working in the public school setting?,How many students are currently on your caseload?,What are the grade levels of your students currently on your caseload? Please select all that apply.,Please describe the population(s) that are on your caseload. Select all that apply. - Selected Choice,Please describe the population(s) that are on your caseload. Select all that apply. - Other (Please specify): - Text,"How many students on your caseload are identified as students learning English as an additional language? (e.g., ENLs, ELLs)","What are the two most common ethnic groups among your multilingual students? If you do not work with multilingual students, please indicate ""N/A""",Do you (the speech-language pathologist) speak a language other than English with enough proficiency to conduct assessments in that language? - Selected Choice,"Do you (the speech-language pathologist) speak a language other than English with enough proficiency to conduct assessments in that language? - If yes, please indicate what language. - Text",Do you (the speech-language pathologist) speak a language other than English with enough proficiency to provide interventions in that language?,"If you speak a language other than English, please rate your proficiency in that language.",How frequently do you use interpreters when conducting assessments with students who are English learners (ELs)?,How frequently do you use interpreters when providing interventions with students who are ELs?,How frequently do you use an interpreter to communicate with parents whose primary language is other than English?,Have you had any graduate coursework that specifically addressed working with interpreters? - Selected Choice,"Have you had any graduate coursework that specifically addressed working with interpreters? - If yes, please provide the graduate course name - Text","How frequently did your graduate program offer workshops, specialty lectures, etc. that specifically addressed working with interpreters?","How many workshops, specialty lectures, etc. did you attend during graduate school that addressed working with an interpreter?",I feel prepared to work with an interpreter when conducting assessments with ELs.,I believe that it is not challenging to work with an interpreter when conducting assessments with ELs.,I do not feel confident in working with an interpreter when conducting assessments with ELs.,I feel prepared to work with an interpreter when providing intervention with ELs.,I believe that it is not challenging to work with an interpreter when providing intervention with ELs.,I do not feel confident in working with an interpreter when providing intervention with ELs.,What type of preparation(s) did you receive during graduate school to work with interpreters? Please select all that apply.,Does your school district provide professional learning opportunities that prepare  speech-language pathologists to work with interpreters?,What type of professional learning opportunities are offered by your work setting that prepares you to work with interpreters? Please select all that apply. - Selected Choice,What type of professional learning opportunities are offered by your work setting that prepares you to work with interpreters? Please select all that apply. - Other (Please specify): - Text,Are there any specific models that your school district promotes that guides speech-language pathologists in their work with interpreters?,I feel that professional learning opportunities provided by the school district prepare speech-language pathologists to work with interpreters.,I feel that workshops provided by school districts prepare speech-language pathologists to work with interpreters.,I feel that continuing education courses prepare speech-language pathologists to work with interpreters.,"Of the following, how important are these in the preparation of speech-language pathologists to work with interpreters? - Certificate Programs","Of the following, how important are these in the preparation of speech-language pathologists to work with interpreters? - Continuing Education Units (CEUs)","Of the following, how important are these in the preparation of speech-language pathologists to work with interpreters? - Online Modules","Of the following, how important are these in the preparation of speech-language pathologists to work with interpreters? - Workshops","Of the following, how important are these in the preparation of speech-language pathologists to work with interpreters? - Seminars","Of the following, how important are these in the preparation of speech-language pathologists to work with interpreters? - Webinars","Of the following, how important are these in the preparation of speech-language pathologists to work with interpreters? - University Coursework","Of the following, how important are these in the preparation of speech-language pathologists to work with interpreters? - Other (Please specify):","Of the following, how important are these in the preparation of speech-language pathologists to work with interpreters? - Other (Please specify): - Text",How can universities best offer coursework in preparing speech-language pathologists to work with interpreters? Please select all that apply. - Selected Choice,How can universities best offer coursework in preparing speech-language pathologists to work with interpreters? Please select all that apply. - Other (Please specify): - Text,How do you believe your school district can support your level of preparedness when working with interpreters? Please be specific.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_4_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_6_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID14""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_3_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID20""}","{""ImportId"":""QID18""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_2_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID57""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID27""}","{""ImportId"":""QID27_2_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID32""}","{""ImportId"":""QID34""}","{""ImportId"":""QID36""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID37""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID41_7_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID42""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID50_2""}","{""ImportId"":""QID50_3""}","{""ImportId"":""QID50_4""}","{""ImportId"":""QID50_5""}","{""ImportId"":""QID50_6""}","{""ImportId"":""QID50_7""}","{""ImportId"":""QID50_8""}","{""ImportId"":""QID50_8_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID51_5_TEXT""}","{""ImportId"":""QID52_TEXT""}"
2024-11-21 05:38:13,2024-11-21 05:38:37,IP Address,104.28.79.163,100,23,True,2024-11-21 05:38:38,R_7Xj5V6P9hKeFee4,,,,,38.8865,-77.0911,anonymous,EN,26-30,Female,,Asian,,Asian,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-21 05:39:00,2024-11-21 05:39:57,IP Address,104.28.39.157,100,56,True,2024-11-21 05:39:58,R_611ISjRln3YgvPg,,,,,38.8616,-77.2663,anonymous,EN,26-30,Female,,White,,White,No,"Stony brook ",No,2022,Suffolk County,,Riverhead High School,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-21 05:40:02,2024-11-21 05:43:56,IP Address,104.28.39.160,100,233,True,2024-11-21 05:43:57,R_3uGRTTr4IVt8akx,,,,,38.8924,-77.0757,anonymous,EN,31-35,Male,,Black or African American,,"Black or African American ",No,"Binghamton ",Yes,,Suffolk County,,"Westhampton ",Yes,"Westhampton Beach Elementary ",3-5,"1-2		",6-10,"1st   	 ,2nd		,3rd   		","Children with autism spectrum disorder ,Children who are learning English as an additional language",,1-5,"Hispanic, Latino, or Spanish origin",No,,No,,"Often ","Often ","Often ",No,,Sometimes,1-2,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Workshops,No,Workshops,,No,Neutral,Neutral,"Agree ",Important,Very Important,Important,Very Important,Neutral,Neutral,Very Important,,,Integrated into existing graduate courses,,
2024-11-21 05:46:17,2024-11-21 05:50:46,IP Address,104.28.77.148,100,268,True,2024-11-21 05:50:47,R_3JwfFUovHr5ggeZ,,,,,38.9522,-77.0253,anonymous,EN,26-30,Male,,White,,White,No,NYU,Yes,,Suffolk County,,Port Jeff,Yes,PJ Elementaryv,"6-10 ","6-10 		",11-15,"1st   	 ,2nd		,3rd   		,4th         	","Children with autism spectrum disorder ,Children with speech sound disorders (i.e., articulation and phonological),Children who are learning English as an additional language",,6-10,"Hispanic, Latino, or Spanish origin",No,,No,,"Often ",Always,"Often ",No,,Sometimes,3-4,Agree,Agree,Disagree,Agree,Agree,Disagree,"Workshops,Guest Speaker(s),Lecture(s),Hands-on experience (e.g., clinical rotations and externships)",Yes,"Online Modules,Workshops,Seminars",,Yes,Agree,Agree,"Agree ",Very Important,Very Important,Neutral,Very Important,Neutral,Important,Very Important,,,"Entire undergraduate course,Entire graduate course",,
2024-11-21 06:01:58,2024-11-21 06:02:12,IP Address,174.244.147.29,100,14,True,2024-11-21 06:02:13,R_76FbZnT5kyd8H8B,,,,,40.6286,-73.939,anonymous,EN,31-35,Female,,Black or African American,,"Black or African American ",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-21 06:03:05,2024-11-21 06:05:01,IP Address,174.244.147.29,100,115,True,2024-11-21 06:05:02,R_68cvlFvN5lJcqLT,,,,,40.6286,-73.939,anonymous,EN,41-45,Female,,Native Hawaiian or Pacific Islander,,Native Hawaiian or Pacific Islander,No,NYU,Yes,,Nassau County,,West Hempstead,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-21 06:06:43,2024-11-21 06:06:59,IP Address,174.244.147.29,100,16,True,2024-11-21 06:07:00,R_5pKwCLotvRGdx5h,,,,,40.6286,-73.939,anonymous,EN,21-25,Female,,Asian,,Asian,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-21 06:07:07,2024-11-21 06:11:19,IP Address,174.244.147.29,100,251,True,2024-11-21 06:11:19,R_1eHp0N3kb6gIa3f,,,,,40.6286,-73.939,anonymous,EN,31-35,Female,,White,,"Hispanic, Latino, or Spanish origin",No,SBU,No,2015,Nassau County,,"Westbury ",Yes,Westbury Elementary,"6-10 ","3-5 		",6-10,"1st   	 ,2nd		,3rd   		","Children with speech sound disorders (i.e., articulation and phonological),Children with motor speech disorders (i.e., Childhood Apraxia of Speech),Children who are learning English as an additional language",,1-5,"Hispanic, Latino, or Spanish origin","If yes, please indicate what language.",Spanish,"If yes, please indicate what language.",Intermediate,Rarely,Rarely,Rarely,No,,Sometimes,1-2,Agree,Agree,Disagree,Agree,Agree,Disagree,"Workshops,Guest Speaker(s),Lecture(s),Hands-on experience (e.g., clinical rotations and externships)",No,"Online Modules,Workshops,Seminars,Webinars",,No,Agree,Agree,"Agree ",Important,Very Important,Important,Very Important,Important,Neutral,Very Important,,,"Entire undergraduate course,Entire graduate course,Integrated into existing graduate courses",,
